question,option,class
What's your reaction to social media engagement?,Relaxed and moderate in social media use,Kapha
How do you approach setting goals?,Varied and open to new goals,Vata
How do you approach setting goals?,Focused and goal-driven,Pitta
How do you approach setting goals?,Steady and consistent in goal-setting,Kapha
How do you handle unexpected invitations to events?,Adaptable and open to spontaneity,Vata
How do you handle unexpected invitations to events?,Enthusiastic and embraces social events,Pitta
How do you handle unexpected invitations to events?,Calm and goes with the flow,Kapha
How do you respond to intense pressure at work?,Stressed but finding ways to cope,Vata
How do you respond to intense pressure at work?,Motivated and thrives under pressure,Pitta
How do you respond to intense pressure at work?,Calm and composed under pressure,Kapha
What's your reaction to cold weather?,Sensitive and dislikes the cold,Vata
What's your reaction to cold weather?,Tolerates cold weather but may get irritable,Pitta
What's your reaction to cold weather?,Comfortable in the cold and bundled up,Kapha
What's your attitude towards new challenges?,Excited and eager to take on challenges,Vata
What's your attitude towards new challenges?,Ambitious and competitive in challenges,Pitta
What's your attitude towards new challenges?,Relaxed and steady when facing challenges,Kapha
How do you handle disagreements with family?,Expresses feelings openly and seeks resolution,Vata
How do you handle disagreements with family?,Assertive and may confront disagreements,Pitta
How do you handle disagreements with family?,Calm and seeks harmony in family dynamics,Kapha
How do you approach managing your daily schedule?,Flexible and adaptable to changes,Vata
How do you approach managing your daily schedule?,Structured and follows a set routine,Pitta
How do you approach managing your daily schedule?,Relaxed and takes it easy,Kapha
How do you handle unexpected changes in plans?,Adaptable and open to spontaneity,Vata
How do you handle unexpected changes in plans?,Resourceful and quick to adjust,Pitta
How do you handle unexpected changes in plans?,Calm and goes with the flow,Kapha
What's your preferred creative outlet?,Exploring new artistic forms,Vata
What's your preferred creative outlet?,Challenging creative projects,Pitta
What's your preferred creative outlet?,Relaxing and enjoying creative hobbies,Kapha
How do you react to challenging puzzles?,Enjoys the mental stimulation,Vata
How do you react to challenging puzzles?,Determined to solve and may get competitive,Pitta
How do you react to challenging puzzles?,Calm and patient,Kapha
What's your ideal vacation type?,Spontaneous adventures,Vata
What's your ideal vacation type?,Exploring new cultures and experiences,Pitta
What's your ideal vacation type?,Relaxing in serene natural settings,Kapha
How do you respond to spicy foods?,Enjoys them with zest,Vata
How do you respond to spicy foods?,Loves spicy foods but practices moderation,Pitta
How do you respond to spicy foods?,Prefers mild flavors and avoids spice,Kapha
What's your approach to giving and receiving gifts?,Thoughtful and appreciates sentiment,Vata
What's your approach to giving and receiving gifts?,Practical and values utility,Pitta
What's your approach to giving and receiving gifts?,Appreciates simple and heartfelt gestures,Kapha
How do you approach decision-making in a group?,Open to various opinions and ideas,Vata
How do you approach decision-making in a group?,Analytical and focused on facts,Pitta
How do you approach decision-making in a group?,Considerate and seeks consensus,Kapha
What's your reaction to unexpected compliments?,Modest and may feel awkward,Vata
What's your reaction to unexpected compliments?,Confident and appreciates recognition,Pitta
What's your reaction to unexpected compliments?,Humble and values positivity,Kapha
How do you handle financial planning?,Flexible with financial strategies,Vata
How do you handle financial planning?,Strategic and goal-oriented,Pitta
How do you handle financial planning?,Prudent and aims for stability,Kapha
What's your communication style when excited?,Talkative and expressive,Vata
What's your communication style when excited?,Direct and enthusiastic,Pitta
What's your communication style when excited?,Calm and content,Kapha
How do you handle criticism about your appearance?,Sensitive and may feel self-conscious,Vata
How do you handle criticism about your appearance?,Confident and may dismiss it,Pitta
How do you handle criticism about your appearance?,Humble and appreciates feedback,Kapha
How do you respond to crowded social events?,Excitable and enjoys socializing,Vata
How do you respond to crowded social events?,Confident and stands out in the crowd,Pitta
How do you respond to crowded social events?,Relaxed and blends in comfortably,Kapha
What's your approach to helping a friend in need?,Supportive and empathetic,Vata
What's your approach to helping a friend in need?,Solution-focused and takes action,Pitta
What's your approach to helping a friend in need?,Calm and reassuring presence,Kapha
How do you handle unexpected obstacles at work?,Adaptable and open to creative solutions,Vata
How do you handle unexpected obstacles at work?,Persistent and determined to overcome,Pitta
How do you handle unexpected obstacles at work?,Calm and methodical problem-solving,Kapha
What's your response to intense pressure at work?,Stressed but finding ways to cope,Vata
What's your response to intense pressure at work?,Motivated and thrives under pressure,Pitta
What's your response to intense pressure at work?,Calm and composed under pressure,Kapha
What's your reaction to cold weather?,Sensitive and dislikes the cold,Vata
What's your reaction to cold weather?,Tolerates cold weather but may get irritable,Pitta
What's your reaction to cold weather?,Comfortable in the cold and bundled up,Kapha
What's your attitude towards new challenges?,Excited and eager to take on challenges,Vata
What's your attitude towards new challenges?,Ambitious and competitive in challenges,Pitta
What's your attitude towards new challenges?,Relaxed and steady when facing challenges,Kapha
How do you handle disagreements with family?,Expresses feelings openly and seeks resolution,Vata
How do you handle disagreements with family?,Assertive and may confront disagreements,Pitta
How do you handle disagreements with family?,Calm and seeks harmony in family dynamics,Kapha
How do you approach managing your daily schedule?,Flexible and adaptable to changes,Vata
How do you approach managing your daily schedule?,Structured and follows a set routine,Pitta
How do you approach managing your daily schedule?,Relaxed and takes it easy,Kapha
How do you respond to unexpected changes in weather?,Adaptable and open to weather shifts,Vata
How do you respond to unexpected changes in weather?,Resilient and takes weather changes in stride,Pitta
How do you respond to unexpected changes in weather?,Calm and unfazed by weather fluctuations,Kapha
What's your favorite type of cuisine to try?,Adventurous and enjoys exploring global flavors,Vata
What's your favorite type of cuisine to try?,Loves spicy and bold flavors,Pitta
What's your favorite type of cuisine to try?,Prefers comforting and hearty meals,Kapha
How do you handle last-minute travel plans?,Spontaneous and excited about the trip,Vata
How do you handle last-minute travel plans?,Organized and efficiently plans the trip,Pitta
How do you handle last-minute travel plans?,Calm and enjoys the spontaneity,Kapha
What's your approach to handling surprises?,Excited and welcomes surprises,Vata
What's your approach to handling surprises?,Calm and composed in surprising situations,Pitta
What's your approach to handling surprises?,Relaxed and goes with the flow,Kapha
How do you react to crowded public transportation?,Adapts to crowded spaces and commutes,Vata
How do you react to crowded public transportation?,Efficient and navigates through crowds,Pitta
How do you react to crowded public transportation?,Calm and comfortable in crowded situations,Kapha
What's your attitude towards environmental conservation?,Supportive and actively engages in conservation efforts,Vata
What's your attitude towards environmental conservation?,Passionate and advocates for conservation,Pitta
What's your attitude towards environmental conservation?,Calm and practices eco-friendly habits,Kapha
How do you approach learning a new language?,Enthusiastic and embraces language challenges,Vata
How do you approach learning a new language?,Structured and methodical in language learning,Pitta
How do you approach learning a new language?,Relaxed and enjoys the language-learning process,Kapha
What's your reaction to loud noises?,Sensitive and may get startled by loud sounds,Vata
What's your reaction to loud noises?,Tolerates loud noises but may get irritable,Pitta
What's your reaction to loud noises?,Comfortable and unaffected by loud sounds,Kapha
How do you handle an unexpected health issue?,Adapts to health changes and seeks solutions,Vata
How do you handle an unexpected health issue?,Proactive and takes immediate action,Pitta
How do you handle an unexpected health issue?,Calm and patient during health challenges,Kapha
What's your response to unexpected changes in work assignments?,Adaptable and open to new tasks,Vata
What's your response to unexpected changes in work assignments?,Efficient and manages tasks effectively,Pitta
What's your response to unexpected changes in work assignments?,Relaxed and takes on tasks comfortably,Kapha
What's your attitude towards trying new sports?,Eager to try various sports and activities,Vata
What's your attitude towards trying new sports?,Competitive and enjoys challenging sports,Pitta
What's your attitude towards trying new sports?,Relaxed and enjoys leisurely sports,Kapha
How do you handle unexpected delays in plans?,Adaptable and finds alternative solutions,Vata
How do you handle unexpected delays in plans?,Patient and manages delays with composure,Pitta
How do you handle unexpected delays in plans?,Calm and accepts delays with ease,Kapha
What's your approach to handling technology glitches?,Impatient but seeks quick resolutions,Vata
What's your approach to handling technology glitches?,Resourceful and fixes glitches effectively,Pitta
What's your approach to handling technology glitches?,Calm and patient in resolving issues,Kapha
How do you react to public speaking engagements?,Excited and enjoys engaging with the audience,Vata
How do you react to public speaking engagements?,Confident and speaks persuasively,Pitta
How do you react to public speaking engagements?,Relaxed and communicates comfortably,Kapha
What's your response to trying new exotic foods?,Adventurous and excited to taste new flavors,Vata
What's your response to trying new exotic foods?,Curious and eager to explore exotic cuisines,Pitta
What's your response to trying new exotic foods?,Calm and enjoys new tastes in moderation,Kapha
How do you approach organizing your workspace?,Creative and adapts to workspace changes,Vata
How do you approach organizing your workspace?,Structured and maintains an organized workspace,Pitta
How do you approach organizing your workspace?,Relaxed and comfortable in a clutter-free space,Kapha
How do you handle unexpected changes in your daily routine?,Adaptable and open to spontaneity,Vata
How do you handle unexpected changes in your daily routine?,Structured and quickly adjusts,Pitta
How do you handle unexpected changes in your daily routine?,Calm and goes with the flow,Kapha
What's your preferred type of literature to read?,Exploring diverse genres and themes,Vata
What's your preferred type of literature to read?,Engaging in thought-provoking and intellectual literature,Pitta
What's your preferred type of literature to read?,Relaxing with comforting and light-hearted reads,Kapha
How do you react to new technology trends?,Excited and eager to embrace new tech,Vata
How do you react to new technology trends?,Enthusiastic and adopts new tech trends quickly,Pitta
How do you react to new technology trends?,Cautious and takes time to adapt to tech changes,Kapha
What's your approach to gardening?,Experimenting with diverse plants and styles,Vata
What's your approach to gardening?,Precise and meticulous in gardening practices,Pitta
What's your approach to gardening?,Relaxed and enjoys tending to a harmonious garden,Kapha
How do you respond to political debates?,Engages actively and enjoys discussing politics,Vata
How do you respond to political debates?,Passionate and assertive in political discussions,Pitta
How do you respond to political debates?,Calm and seeks common ground in political debates,Kapha
What's your reaction to a busy and bustling city?,Excited and enjoys the urban hustle,Vata
What's your reaction to a busy and bustling city?,Thrives in a fast-paced city environment,Pitta
What's your reaction to a busy and bustling city?,Calm and finds peace amidst the city chaos,Kapha
How do you approach trying new cuisines?,Adventurous and eager to taste global flavors,Vata
How do you approach trying new cuisines?,Enjoys spicy and bold dishes from different cultures,Pitta
How do you approach trying new cuisines?,Prefers comforting and familiar cuisines,Kapha
How do you handle unexpected changes in travel plans?,Adapts to changes with enthusiasm,Vata
How do you handle unexpected changes in travel plans?,Resourceful and quick to adjust,Pitta
How do you handle unexpected changes in travel plans?,Calm and takes it in stride,Kapha
What's your preferred method of learning?,Diverse and open to various learning styles,Vata
What's your preferred method of learning?,Structured and goal-oriented in learning,Pitta
What's your preferred method of learning?,Relaxed and enjoys experiential learning,Kapha
What's your response to a sudden power outage?,Adapts with alternative light sources,Vata
What's your response to a sudden power outage?,Resourceful and finds quick solutions,Pitta
What's your response to a sudden power outage?,Calm and comfortable in darkness,Kapha
How do you handle unexpected traffic delays?,Adapts to the traffic and takes alternative routes,Vata
How do you handle unexpected traffic delays?,Efficient and navigates through traffic challenges,Pitta
How do you handle unexpected traffic delays?,Calm and patient during traffic congestion,Kapha
What's your attitude towards embracing new fashion trends?,Eager to experiment with new styles,Vata
What's your attitude towards embracing new fashion trends?,Confident and enjoys following fashion trends,Pitta
What's your attitude towards embracing new fashion trends?,Relaxed and prefers timeless fashion,Kapha
How do you approach digital communication?,Engages actively in digital conversations and networks,Vata
How do you approach digital communication?,Direct and efficient in digital interactions,Pitta
How do you approach digital communication?,Calm and takes digital communication at a comfortable pace,Kapha
What's your reaction to trying extreme sports?,Excited and eager to experience the adrenaline rush,Vata
What's your reaction to trying extreme sports?,Fearless and seeks thrilling adventures,Pitta
What's your reaction to trying extreme sports?,Calm and prefers gentle and safe activities,Kapha
How do you handle unexpected changes in work projects?,Adaptable and open to new project directions,Vata
How do you handle unexpected changes in work projects?,Focused and efficient in adapting to changes,Pitta
How do you handle unexpected changes in work projects?,Calm and takes changes in stride,Kapha
What's your response to trying spicy foods?,Enjoys them with enthusiasm and zest,Vata
What's your response to trying spicy foods?,Loves spicy foods but practices moderation,Pitta
What's your response to trying spicy foods?,Prefers mild flavors and avoids spice,Kapha
How do you approach decision-making in a group setting?,Open to various perspectives and opinions,Vata
How do you approach decision-making in a group setting?,Analytical and data-driven in group decisions,Pitta
How do you approach decision-making in a group setting?,Considerate and seeks consensus in group choices,Kapha
How do you handle unexpected changes in your daily routine?,Adaptable and open to spontaneity,Vata
How do you handle unexpected changes in your daily routine?,Structured and quickly adjusts,Pitta
How do you handle unexpected changes in your daily routine?,Calm and goes with the flow,Kapha
What's your preferred type of literature to read?,Exploring diverse genres and themes,Vata
What's your preferred type of literature to read?,Engaging in thought-provoking and intellectual literature,Pitta
What's your preferred type of literature to read?,Relaxing with comforting and light-hearted reads,Kapha
How do you react to new technology trends?,Excited and eager to embrace new tech,Vata
How do you react to new technology trends?,Enthusiastic and adopts new tech trends quickly,Pitta
How do you react to new technology trends?,Cautious and takes time to adapt to tech changes,Kapha
What's your approach to gardening?,Experimenting with diverse plants and styles,Vata
What's your approach to gardening?,Precise and meticulous in gardening practices,Pitta
What's your approach to gardening?,Relaxed and enjoys tending to a harmonious garden,Kapha
How do you respond to political debates?,Engages actively and enjoys discussing politics,Vata
How do you respond to political debates?,Passionate and assertive in political discussions,Pitta
How do you respond to political debates?,Calm and seeks common ground in political debates,Kapha
What's your reaction to a busy and bustling city?,Excited and enjoys the urban hustle,Vata
What's your reaction to a busy and bustling city?,Thrives in a fast-paced city environment,Pitta
What's your reaction to a busy and bustling city?,Calm and finds peace amidst the city chaos,Kapha
How do you approach trying new cuisines?,Adventurous and eager to taste global flavors,Vata
How do you approach trying new cuisines?,Enjoys spicy and bold dishes from different cultures,Pitta
How do you approach trying new cuisines?,Prefers comforting and familiar cuisines,Kapha
How do you handle unexpected changes in travel plans?,Adapts to changes with enthusiasm,Vata
How do you handle unexpected changes in travel plans?,Resourceful and quick to adjust,Pitta
How do you handle unexpected changes in travel plans?,Calm and takes it in stride,Kapha
What's your preferred method of learning?,Diverse and open to various learning styles,Vata
What's your preferred method of learning?,Structured and goal-oriented in learning,Pitta
What's your preferred method of learning?,Relaxed and enjoys experiential learning,Kapha
What's your response to a sudden power outage?,Adapts with alternative light sources,Vata
What's your response to a sudden power outage?,Resourceful and finds quick solutions,Pitta
What's your response to a sudden power outage?,Calm and comfortable in darkness,Kapha
How do you handle unexpected traffic delays?,Adapts to the traffic and takes alternative routes,Vata
How do you handle unexpected traffic delays?,Efficient and navigates through traffic challenges,Pitta
How do you handle unexpected traffic delays?,Calm and patient during traffic congestion,Kapha
What's your attitude towards embracing new fashion trends?,Eager to experiment with new styles,Vata
What's your attitude towards embracing new fashion trends?,Confident and enjoys following fashion trends,Pitta
What's your attitude towards embracing new fashion trends?,Relaxed and prefers timeless fashion,Kapha
How do you approach digital communication?,Engages actively in digital conversations and networks,Vata
How do you approach digital communication?,Direct and efficient in digital interactions,Pitta
How do you approach digital communication?,Calm and takes digital communication at a comfortable pace,Kapha
What's your reaction to trying extreme sports?,Excited and eager to experience the adrenaline rush,Vata
What's your reaction to trying extreme sports?,Fearless and seeks thrilling adventures,Pitta
What's your reaction to trying extreme sports?,Calm and prefers gentle and safe activities,Kapha
How do you handle unexpected changes in work projects?,Adaptable and open to new project directions,Vata
How do you handle unexpected changes in work projects?,Focused and efficient in adapting to changes,Pitta
How do you handle unexpected changes in work projects?,Calm and takes changes in stride,Kapha
What's your response to trying spicy foods?,Enjoys them with enthusiasm and zest,Vata
What's your response to trying spicy foods?,Loves spicy foods but practices moderation,Pitta
What's your response to trying spicy foods?,Prefers mild flavors and avoids spice,Kapha
How do you approach decision-making in a group setting?,Open to various perspectives and opinions,Vata
How do you approach decision-making in a group setting?,Analytical and data-driven in group decisions,Pitta
How do you approach decision-making in a group setting?,Considerate and seeks consensus in group choices,Kapha
